userId,movieId,rating,timestamp
11,21,4.5,1102085321
12,34,5.0,953776646
13,2,2.0,974867742
13,10,2.0,974868113
14,6,3.0,845469804
14,10,2.0,845469438
14,21,2.0,845469555
14,25,1.0,845469842
14,34,5.0,845469500
15,1,4.0,1137894004
15,17,3.5,1293228198
15,32,4.5,1137893119
15,34,4.0,1153012680
17,1,5.0,944991567
17,2,3.0,944991114
17,10,3.0,944989628
17,19,1.0,944993918
17,21,3.0,946613456
17,32,3.0,944995770
17,34,5.0,944992014
18,19,1.0,844374821
18,21,3.0,844374820
18,32,4.0,844374845
23,1,5.0,1378675311
24,34,5.0,1019395578
28,1,4.0,1098785105
30,17,3.0,1028160265
30,25,3.0,1028159056
31,6,4.5,1338649488
32,21,5.0,847546795
32,32,3.0,847546819
32,34,5.0,847546762
34,1,3.0,1086265275
34,2,2.5,1086265561
34,10,3.5,1086265340
37,1,4.5,1227401937
37,10,4.5,1227487031
37,34,3.0,1227484793
38,10,3.0,1228208306
39,21,4.0,1071869435
39,25,5.0,1073945945
39,32,4.0,1074028688
40,1,4.0,869044457
40,2,5.0,869050453
40,34,4.0,869171451
47,1,4.0,1150032907
47,6,4.0,1150033368
47,10,4.0,1150033307
47,19,4.0,1150032444
47,21,4.5,1150033350
47,25,4.0,1150033364
47,32,4.0,1150033237
50,1,4.0,951519605
50,10,4.0,951520041
50,17,5.0,951520123
50,34,5.0,951519555
55,21,2.0,949961749
56,1,3.0,861786289
56,6,4.0,861786324
56,17,5.0,861786289
56,25,4.0,861786289
56,32,4.0,861786288
57,1,2.0,1433167964
58,1,4.0,952806763
58,19,4.0,952812027
58,21,4.0,938848929
58,25,4.0,952807972
59,1,3.0,1299676341
59,6,2.5,1299596834
60,6,5.0,1170623083
60,25,5.0,1170623039
60,32,4.0,1170622886
64,1,3.0,902067237
64,34,2.0,902067848
66,1,5.0,1152584198
70,6,1.0,974729633
70,17,5.0,974686964
70,21,3.0,974729600
75,1,5.0,1121052525
75,2,3.5,1121135463
75,19,2.5,1121228928
75,21,4.5,1121134875
75,25,4.5,1121131613
75,32,5.0,1121053446
75,34,4.5,1121132504
78,10,4.5,1284971208
78,32,4.0,1284969944
81,17,4.0,868703150
81,32,3.0,868703146
85,1,4.0,849461424
