iteration,costFunction,trainingRmse,cvRmse
0,1.7616575208056564,1.8756894207205,1.8824272529612502
50,0.35861056085021298,0.8426336661557291,0.8942307111013031
100,0.33365538478936502,0.8121555075065046,0.8958401514778982
150,0.31278541225963558,0.7858054344206796,0.8943063072704087
200,0.30060253335480291,0.7699970678324549,0.8946615647434962
250,0.29249645007691644,0.7592917643979455,0.8942400037962532
300,0.28635804618054278,0.7510853713407224,0.8923006235721699
350,0.28162435877096842,0.7446969720162446,0.8898506836206996
400,0.27804344076271215,0.7398285162826003,0.8878507424606333
450,0.27526148864645178,0.7360263519538409,0.886448390196092
500,0.27313744116148508,0.733110078860746,0.8856962600346414
550,0.27164332705043731,0.7310469223855377,0.885555100316335
600,0.27020210184300697,0.7290594260628009,0.8856769619192808
650,0.26913260810210649,0.7275780883973816,0.8859214471819985
700,0.26831012534825505,0.7264351787781308,0.8860895559504249
750,0.2676137766152748,0.7254669130138302,0.8860598050711088
800,0.26698850202760915,0.7245968724461661,0.8860549155641254
850,0.26651624062349277,0.7239372811840609,0.8859775733553411
900,0.26604938554032198,0.7232873591405775,0.8858274691838387
950,0.2656756080978328,0.7227656071095757,0.8857490196028042
1000,0.26541703369222364,0.7224034025894864,0.8854898730404569
1050,0.26506389369599165,0.7219114813536757,0.8854575596533123
1100,0.2648415772803161,0.7216005257543154,0.8853159792286784
1150,0.26459004154374532,0.7212493546087706,0.8851507128718087
1200,0.26440948690896965,0.7209970733493827,0.8850185230627803
1250,0.26417873308593809,0.7206755769017785,0.8849069692274615
1300,0.26401758853428975,0.7204500929313847,0.8847212443134719
1350,0.26387310923651047,0.7202480112426051,0.8845693052290453
1400,0.26371582676778321,0.720028693172016,0.8843738293964277
1450,0.26362942276507839,0.7199064128509078,0.8841703047961791
1500,0.26347771621719934,0.7196954217036093,0.8839641731453745
